rate,th,snr,snr_min,snr_max,order,modulation
0.2,0.4,-2.7,-3.2,-2.2,2,qpsk
0.25,0.5,-1.3,-1.8,-0.8,2,qpsk
0.333333333,0.67,-0.8,-1.3,-0.3,2,qpsk
0.4,0.8,-0.2,-0.7,0.3,2,qpsk
0.5,1,1.3,0.8,1.8,2,qpsk
0.6,1.2,2.7,2.2,3.2,2,qpsk
0.666666667,1.33,3.4,2.9,3.9,2,qpsk
0.75,1.5,4.6,4.1,5.1,2,qpsk
0.4,1.6,5.3,4.8,5.8,4,16qam
0.45,1.8,6.2,5.7,6.7,4,16qam
0.5,2,6.8,6.3,7.3,4,16qam
0.55,2.2,7.8,7.3,8.3,4,16qam
0.6,2.4,8.7,8.2,9.2,4,16qam
0.666666667,2.67,9.3,8.8,9.8,4,16qam
0.75,3,10.7,10.2,11.2,4,16qam
0.8,3.2,11.2,10.7,11.7,4,16qam
0.833333333,3.33,12.2,11.7,12.7,4,16qam
0.6,3.6,13.6,13.1,14.1,6,64qam
0.625,3.75,14,13.5,14.5,6,64qam
0.666666667,4,14.5,14,15,6,64qam
0.708333333,4.25,15.4,14.9,15.9,6,64qam
0.75,4.5,16.3,15.8,16.8,6,64qam
0.8,4.8,16.8,16.3,17.3,6,64qam
0.833333333,5,17.8,17.3,18.3,6,64qam
0.875,5.25,18.6,18.1,19.1,6,64qam
0.9,5.4,19.2,18.7,19.7,6,64qam